MonthYear,Type,Value
2022-03,Departures,0.34
2022-04,Departures,0.61
2022-05,Departures,0.66
2022-06,Departures,0.88
2022-07,Departures,0.97
2022-08,Departures,0.94
2022-09,Departures,1.04
2022-10,Departures,1.01
2022-11,Departures,1.18
2022-12,Departures,1.52
2023-01,Departures,1.38
2023-02,Departures,1.07
2023-03,Departures,1.32
2023-04,Departures,1.43
2023-05,Departures,1.36
2023-06,Departures,1.56
2023-07,Departures,1.49
2023-08,Departures,1.52
